,x,V_blue,V_dashed,V_dotted
93,-5.35,0.27172273647950185,0.2777640661304472,0.2746909109465312
94,-5.3,0.256308129058775,0.26234945870989085,0.2592763035236267
95,-5.25,0.24160372813294462,0.24764505778434628,0.2445719025941312
96,-5.199999999999999,0.22758311149209653,0.23362444114397732,0.2305512859471481
97,-5.1499999999999995,0.2142206011371739,0.22026193078985334,0.2171887755820077
98,-5.1,0.20149124917300476,0.20753257882700668,0.2044594236009057
99,-5.05,0.18937082383664272,0.19541215349282434,0.1923389982366257
100,-5.0,0.17783579566120533,0.18387712532096295,0.18080397001539472
101,-4.949999999999999,0.16686332377548307,0.17290465344107714,0.16983149805493877
102,-4.8999999999999995,0.15643124233974603,0.1624725720148161,0.15939941649785788
103,-4.85,0.14651804711839667,0.15255937680877493,0.1494862210804883
104,-4.8,0.13710288219046696,0.1431442119054483,0.140071055837516
105,-4.75,0.1281655267994415,0.13420685655376433,0.13113369994273563
106,-4.699999999999999,0.119686382344657,0.12572771216156578,0.12265455468654529
107,-4.6499999999999995,0.11164645951760299,0.11768778943356883,0.11461463059106176
108,-4.6,0.10402736558807568,0.11006869566002571,0.10699553466416035
109,-4.55,0.09681129184746684,0.10285262216379047,0.09977945779436716
110,-4.5,0.08998100121982766,0.0960223319170443,0.09294916228941505
111,-4.449999999999999,0.08351981605618519,0.08956114734404907,0.08648796956255682
112,-4.3999999999999995,0.07741160613447118,0.08345293833356879,0.0803797479725461
113,-4.35,0.07164077689714965,0.07768211049488247,0.07460890082576517
114,-4.3,0.06619225797226669,0.07223359370575853,0.06916035455259359
115,-4.25,0.06105149204273097,0.06709283102089815,0.06401954707514412
116,-4.199999999999999,0.05620442415496285,0.06224576803724299,0.059172416390464666
117,-4.1499999999999995,0.05163749159433362,0.05767884285086758,0.05460538940288644
118,-4.1,0.04733761450422325,0.05337897679247012,0.05030537105227147
119,-4.05,0.04329218749254249,0.049333566199286034,0.04625973380261608
120,-4.0,0.039489072559494076,0.045530475576404286,0.04245630757925505
121,-3.9499999999999993,0.03591659380038159,0.04195803262733883,0.03888337027462925
122,-3.8999999999999995,0.032563534495926305,0.03860502580152925,0.03552963898453626
123,-3.8499999999999996,0.02941913741079727,0.035460705226604536,0.03238426219182071
124,-3.8,0.026473109391884186,0.032514788179670955,0.029436813186071713
125,-3.75,0.023715631707197815,0.02975747062128505,0.026677285100240863
126,-3.6999999999999993,0.021137378012794805,0.0271794467879725,0.024096088063147086
127,-3.6499999999999995,0.018729542400656385,0.024771939437181333,0.021684049116339935
128,-3.5999999999999996,0.016483880689802888,0.02252674408870756,0.019432415731330897
129,-3.55,0.014392769003798378,0.020436291538192763,0.017332863996092844
130,-3.5,0.012449284760204016,0.018493734063012784,0.015377512825907253
131,-3.4499999999999993,0.010647316512789828,0.01669306213196699,0.013558945901411455
132,-3.3999999999999995,0.008981710666750686,0.015029260100783787,0.011870243454350102
133,-3.3499999999999996,0.007448464959683321,0.01349851135644414,0.010305026516780894
134,-3.3,0.006044980790835375,0.012098465690284273,0.008857516828725412
135,-3.25,0.0047703890029868745,0.01082858434916483,0.007522616266586337
136,-3.1999999999999993,0.003625966576897177,0.009690581238004266,0.006296010410655768
137,-3.1499999999999995,0.002615664869658474,0.00868898210796552,0.0051743017102869856
138,-3.0999999999999996,0.0017467734714067262,0.007831827217935758,0.004155178618639296
139,-3.05,0.0010307473919288768,0.007131546823334708,0.003237628035505171
140,-3.0,0.00048422899933520114,0.006606042803337471,0.0024221993859909106
141,-2.9499999999999993,0.00013029974593337101,0.006280013611268565,0.0017113296312401961
142,-2.8999999999999995,0.0,0.00618656328931569,0.0011097393964875342
143,-2.8499999999999996,0.00013415795674465159,0.006369138226988844,0.0006249111362980048
144,-2.8,0.0005855702525972006,0.006883837290135654,0.0002676607436961082
145,-2.75,0.0014215771001904187,0.00780214145730974,5.281413738289096e-05
146,-2.6999999999999993,0.002727072963148558,0.009214107655327118,5.819657393910383e-18
147,-2.6499999999999995,0.004607989390461142,0.011232067505863209,0.00013456884540403405
148,-2.5999999999999996,0.007195278954168494,0.01399486455306579,0.0004886468074446502
149,-2.55,0.010649417557256236,0.017672652588827855,0.0011023298044079144
150,-2.5,0.015165425953520995,0.022472262288878674,0.002025019882414003
151,-2.4499999999999993,0.020978389410676535,0.028643122934778723,0.003316900431540973
152,-2.3999999999999995,0.02836942636739792,0.03648370004737744,0.00505054048106422
153,-2.3499999999999996,0.03767202210110199,0.04634837798917656,0.007312610338172291
154,-2.3,0.049278601406564704,0.0586546789381777,0.010205681420803822
155,-2.25,0.06364716486297439,0.07389066633829462,0.013850072310875615
156,-2.1999999999999993,0.08130775646582045,0.09262233262076786,0.018385690976511278
157,-2.1499999999999995,0.10286846652442794,0.11550071874972949,0.023973810051557493
158,-2.0999999999999996,0.12902060335437682,0.14326845856427034,0.03079869841547575
159,-2.05,0.16054259123266146,0.1767653861051738,0.039069018620650854
160,-2.0,0.19830207126163302,0.21693279181758549,0.04901888663993337
161,-1.9499999999999993,0.24325559708470923,0.2648158669312263,0.06090847875981782
162,-1.9000000000000004,0.29644522939760165,0.3215638381202493,0.07502406114478202
163,-1.8499999999999996,0.3589912419022925,0.38842727076801825,0.09167731165410656
164,-1.799999999999999,0.4320800558992399,0.4667520130268784,0.11120380195869257
165,-1.75,0.516946419310087,0.5579692685625908,0.13396051193029537
166,-1.6999999999999993,0.6148487362924397,0.6635813273154573,0.16032225863618052
167,-1.6500000000000004,0.7270363346936017,0.7851425541230315,0.19067693990042667
168,-1.5999999999999996,0.8547073348106462,0.924235337059439,0.22541951789563033
169,-1.549999999999999,0.9989556733354066,1.08244083205128,0.26494470190500696
170,-1.5,1.1607057926179554,1.261304507387863,0.3096383311593239
171,-1.4499999999999993,1.340633644156135,1.4622966889966598,0.35986750796638906
172,-1.4000000000000004,1.5390732113366425,1.6867685306270623,0.4159695871688654
173,-1.3499999999999996,1.75590915758802,1.9359040760665494,0.4782401887114367
174,-1.299999999999999,1.9904591472831,2.2106693347627506,0.5469204636607002
175,-1.25,2.24135482152625,2.511759547317135,0.6221839077942117
176,-1.1999999999999993,2.506439253169159,2.8395460611279546,0.7041230778280974
177,-1.1500000000000004,2.7827108780132246,3.1940244556234916,0.7927366201434901
178,-1.0999999999999996,3.0663564034066635,3.5747657370200163,0.8879170669953939
179,-1.049999999999999,3.352919710624132,3.9808725504101563,0.9894398871554025
180,-1.0,3.6376365986947654,4.410942419180841,1.0969542934880576
181,-0.9499999999999993,3.915914906421632,4.863040006982924,1.2099763062663818
182,-0.9000000000000004,4.18386405266482,5.334680297084386,1.3278845459345536
183,-0.8499999999999996,4.438717845044383,5.822824392756837,1.449919181230158
184,-0.7999999999999989,4.679004115483908,6.3238893593547925,1.5751843878308793
185,-0.75,4.9044103512663515,6.833773157619908,1.7026545799086874
186,-0.6999999999999993,5.115421441194252,7.34789526710406,1.8311845643149807
187,-0.6500000000000004,5.312880928631692,7.861253082048253,1.959523637980939
188,-0.5999999999999996,5.497615036344577,8.368493597820322,2.086333508058825
189,-0.5499999999999989,5.670191259195441,8.863999316367522,2.210209766918253
190,-0.5,5.8308149871003625,9.341986709446019,2.329706506687945
191,-0.4499999999999993,5.9793292697362475,9.796615015908515,2.4433635174132524
192,-0.3999999999999986,6.115274669765883,10.222102641829574,2.549735386024368
193,-0.34999999999999964,6.237974619210755,10.612848006461295,2.6474217068633696
194,-0.29999999999999893,6.346624417700722,10.963551357080602,2.735097534535417
195,-0.25,6.440372611393807,11.269333881767121,2.8115431613438457
196,-0.1999999999999993,6.518390309050844,11.52585039566982,2.875672288198701
197,-0.14999999999999858,6.579927599229441,11.72939197152925,2.926557681690429
198,-0.09999999999999964,6.624357756286171,11.876975130073507,2.9634534712332354
199,-0.049999999999998934,6.651210320703413,11.966414593840577,2.9858133371662987
200,0.0,6.6601940324728,11.996377125070657,2.9933039699737307
201,0.05000000000000071,6.651210320703413,11.966414593840577,2.9858133371662983
202,0.10000000000000142,6.6243577562861695,11.876975130073504,2.963453471233234
203,0.15000000000000036,6.579927599229439,11.72939197152924,2.926557681690427
204,0.20000000000000107,6.518390309050842,11.525850395669812,2.8756722881986994
205,0.25,6.440372611393807,11.269333881767121,2.8115431613438457
206,0.3000000000000007,6.346624417700719,10.96355135708059,2.735097534535414
207,0.3500000000000014,6.23797461921075,10.612848006461281,2.647421706863366
208,0.40000000000000036,6.115274669765878,10.22210264182956,2.549735386024364
209,0.45000000000000107,5.979329269736242,9.7966150159085,2.4433635174132484
210,0.5,5.8308149871003625,9.341986709446019,2.329706506687945
211,0.5500000000000007,5.670191259195434,8.863999316367504,2.210209766918249
212,0.6000000000000014,5.4976150363445715,8.368493597820304,2.0863335080588206
213,0.6500000000000004,5.312880928631692,7.861253082048253,1.959523637980939
214,0.7000000000000011,5.115421441194245,7.347895267104044,1.8311845643149762
215,0.75,4.9044103512663515,6.833773157619908,1.7026545799086874
216,0.8000000000000007,4.679004115483901,6.323889359354775,1.575184387830875
217,0.8500000000000014,4.4387178450443745,5.822824392756818,1.449919181230153
218,0.9000000000000004,4.18386405266482,5.334680297084386,1.3278845459345536
219,0.9500000000000011,3.915914906421621,4.863040006982907,1.2099763062663773
220,1.0,3.6376365986947654,4.410942419180841,1.0969542934880576
221,1.0500000000000007,3.3529197106241213,3.9808725504101425,0.989439887155399
222,1.1000000000000014,3.066356403406653,3.5747657370200017,0.8879170669953902
223,1.1500000000000004,2.7827108780132246,3.1940244556234916,0.7927366201434901
224,1.200000000000001,2.506439253169148,2.8395460611279417,0.7041230778280941
225,1.25,2.24135482152625,2.511759547317135,0.6221839077942117
