,time,survival_unbiased,survival_biased,survival_fitted
4649,0.43792679067199997,,-0.0001416226932633711,-0.0004171885693146011
1332,0.438223895872,,-0.00014224117695775778,-0.000417224153906077
2710,0.43923561751999995,,-0.0001428596610347778,-0.0004173453288351305
4048,0.43942323449599996,,-0.00014347814549420953,-0.00041736779991084685
4423,0.4395128374,,-0.0001440966303362756,-0.0004173785317416391
2748,0.439915176616,,-0.00014471511556086541,-0.0004174267203180629
1199,0.441244949112,,-0.00014533360116786837,-0.00041758598852012084
4160,0.444190372384,,-0.00014595208715750707,-0.0004179387648561049
2533,0.44522174995200003,,-0.0001465705735295599,-0.00041806229399465487
7402,0.44868231423599997,,-0.00014718906028424937,-0.00041847676929270526
3497,0.454680694886,,-0.0001478075474213539,-0.000419195201433736
1935,0.45650527336,,-0.00014842603494109606,-0.0004194137330501905
6112,0.45652555879199996,,-0.00014904452284336526,-0.0004194161626569784
4159,0.46665495551599995,,-0.00014966301112805095,-0.00042062937078770496
5541,0.466945919582,,-0.00015028149979537568,-0.00042066421984932615
4402,0.46901412019799993,,-0.00015089998884511784,-0.00042091193033709485
6056,0.469030786,,-0.00015151847827749997,-0.0004209139264171224
2043,0.47101246647,,-0.00015213696809230048,-0.00042115127429915466
2052,0.472025167488,,-0.0001527554582897419,-0.0004212725665283475
329,0.473430828072,,-0.0001533739488697137,-0.0004214409239237598
634,0.47417583395,,-0.0001539924398321053,-0.00042153015403422503
391,0.476293082436,,-0.00015461093117713923,-0.0004217837390351854
2635,0.4766879163520001,,-0.0001552294229045939,-0.00042183102869420755
7386,0.48554731622400005,,-0.00015584791501469186,-0.0004228921280124524
1208,0.48668408641200006,,-0.00015646640750732258,-0.0004230282801321123
7102,0.486986573562,,-0.00015708490038237542,-0.0004230645093252044
7089,0.492125045384,,-0.000157703393640073,-0.0004236799493127793
5423,0.49873451793600004,,-0.00015832188728019366,-0.0004244715725513974
3465,0.49997469184000004,,-0.00015894038130296,-0.00042462010943911577
5716,0.5036912937,,-0.00015955887570815038,-0.00042506525061761674
657,0.509404244712,,-0.00016017737049598739,-0.0004257494965610873
7172,0.5134210586919999,,-0.00016079586566636043,-0.0004262305944500273
4757,0.515681823136,,-0.00016141436121915894,-0.0004265013685029992
3507,0.516116819238,,-0.00016203285715460546,-0.00042655346842781805
2603,0.5187207526359999,,-0.0001626513534724784,-0.00042686534417485427
6165,0.521976704576,,-0.00016326985017300034,-0.00042725531284470644
308,0.5225600746800001,,-0.0001638883472559496,-0.00042732518367439947
4806,0.52495013944,,-0.0001645068447215488,-0.00042761144415750645
4091,0.52737351282,,-0.0001651253425696874,-0.0004279016940478515
3948,0.5327222008499999,,-0.0001657438408002547,-0.0004285423118441059
3042,0.5332576578880001,,-0.0001663623394134734,-0.00042860644407723456
2263,0.5347633783600001,,-0.0001669808384091218,-0.00042878678574703055
3826,0.543513494376,,-0.0001675993377874225,-0.0004298347960268786
