,time,survival_unbiased,survival_biased
128,74.184954,-0.012983927558294786,
129,74.23725999999999,-0.01308523954865548,
130,74.340782,-0.013186561804175559,
8329,74.98608559600001,,-0.008568168944286166
131,75.301694,-0.013287894326935407,
132,75.67567600000001,-0.013389237119016052,
133,75.805666,-0.013490590182499144,
134,77.40300599999999,-0.013591953519466972,
8330,77.712065664,,-0.008669409136728921
135,77.888712,-0.013693327132002454,
136,78.80335799999999,-0.01379471102218926,
8331,79.05820065,,-0.008770659579786138
8332,79.813168158,,-0.00887192027553367
8333,79.928955904,,-0.008973191226048009
137,80.11023399999999,-0.013896105192111352,
8334,80.117019732,,-0.009074472433406608
138,80.92,-0.013997509643853661,
8335,81.87124343999999,,-0.009175763899687214
139,82.237384,-0.014098924379501648,
140,82.315092,-0.0142003494011414,
141,83.644252,-0.014301784710859645,
8336,84.111188422,,-0.009277065626968322
8337,84.15930614,,-0.009378377617328945
142,84.377644,-0.014403230310743743,
143,84.758852,-0.014504686202881688,
144,84.790938,-0.014606152389362114,
145,85.047068,-0.014707628872274288,
146,85.359846,-0.014809115653708226,
147,85.657104,-0.01491061273575424,
8338,85.82763847999999,,-0.009479699872849063
8339,87.12354459199999,,-0.009581032395608955
148,87.64343600000001,-0.015012120120503621,
149,87.796734,-0.015113637810048184,
150,88.025148,-0.015215165806480377,
151,88.12161,-0.015316704111893288,
152,88.1425,-0.015418252728380644,
153,89.510838,-0.015519811658036807,
154,89.967868,-0.01562138090295678,
155,90.059444,-0.015722960465236198,
156,90.49872599999999,-0.01582455034697146,
8340,90.6169221,,-0.009682375187689638
157,90.684876,-0.015926150550259255,
158,91.22447,-0.01602776107719725,
159,91.320484,-0.016129381929883644,
160,91.542134,-0.01623101311041727,
161,91.65127199999999,-0.01633265462089761,
162,91.877114,-0.016434306463424773,
163,91.95600599999999,-0.01653596864009952,
164,92.24816,-0.01663764115302325,
165,92.26260400000001,-0.016739324004297996,
166,92.284246,-0.016841017196026556,
167,92.95597000000001,-0.016942720730312024,
168,93.10406,-0.017044434609258474,
8341,93.80594376399999,,-0.00978372825117266
169,94.722312,-0.017146158834970514,
8342,94.98299752800001,,-0.009885091588140528
170,96.242242,-0.01724789340955339,
8343,96.72415494399999,,-0.009986465200676052
171,96.765838,-0.017349638335112993,
