,x,y,V
100,-75.0,0.0,5.6153829509795665
101,-75.0,0.14999999999999858,5.615607950979568
102,-75.0,0.29999999999999893,5.616282950979566
103,-75.0,0.4499999999999993,5.617407950979567
104,-75.0,0.5999999999999996,5.618982950979566
105,-75.0,0.75,5.621007950979567
106,-75.0,0.8999999999999986,5.623482950979566
107,-75.0,1.0500000000000007,5.6264079509795675
108,-75.0,1.1999999999999993,5.629782950979567
109,-75.0,1.3499999999999979,5.633607950979567
110,-75.0,1.5,5.6378829509795665
111,-75.0,1.6499999999999986,5.642607950979566
112,-75.0,1.8000000000000007,5.647782950979567
113,-75.0,1.9499999999999993,5.653407950979567
114,-75.0,2.099999999999998,5.659482950979567
115,-75.0,2.25,5.666007950979567
116,-75.0,2.3999999999999986,5.672982950979567
117,-75.0,2.5500000000000007,5.680407950979567
118,-75.0,2.6999999999999993,5.688282950979567
119,-75.0,2.849999999999998,5.696607950979567
120,-75.0,3.0,5.705382950979567
121,-75.0,3.1499999999999986,5.714607950979566
122,-75.0,3.3000000000000007,5.724282950979568
123,-75.0,3.4499999999999993,5.734407950979567
124,-75.0,3.599999999999998,5.744982950979567
125,-75.0,3.75,5.756007950979567
126,-75.0,3.8999999999999986,5.767482950979566
127,-75.0,4.050000000000001,5.779407950979567
128,-75.0,4.199999999999999,5.7917829509795675
129,-75.0,4.349999999999998,5.804607950979567
130,-75.0,4.5,5.817882950979567
131,-75.0,4.649999999999999,5.831607950979566
132,-75.0,4.800000000000001,5.845782950979568
133,-75.0,4.949999999999999,5.8604079509795675
134,-75.0,5.099999999999998,5.875482950979566
135,-75.0,5.25,5.891007950979566
136,-75.0,5.399999999999999,5.906982950979567
137,-75.0,5.550000000000001,5.923407950979567
138,-75.0,5.699999999999999,5.940282950979567
139,-75.0,5.849999999999998,5.957607950979567
140,-75.0,6.0,5.975382950979567
141,-75.0,6.149999999999999,5.993607950979567
142,-75.0,6.300000000000001,6.012282950979567
143,-75.0,6.449999999999999,6.031407950979567
144,-75.0,6.599999999999998,6.050982950979567
145,-75.0,6.75,6.071007950979567
146,-75.0,6.899999999999999,6.091482950979567
147,-75.0,7.050000000000001,6.112407950979567
148,-75.0,7.199999999999999,6.133782950979567
149,-75.0,7.349999999999998,6.155607950979566
150,-75.0,7.5,6.1778829509795665
151,-75.0,7.649999999999999,6.200607950979566
152,-75.0,7.800000000000001,6.223782950979568
153,-75.0,7.949999999999999,6.247407950979566
154,-75.0,8.099999999999998,6.271482950979567
155,-75.0,8.25,6.296007950979567
156,-75.0,8.399999999999999,6.320982950979567
157,-75.0,8.55,6.346407950979567
158,-75.0,8.7,6.372282950979566
159,-75.0,8.849999999999998,6.398607950979566
160,-75.0,9.0,6.425382950979568
161,-75.0,9.149999999999999,6.4526079509795675
162,-75.0,9.3,6.480282950979568
163,-75.0,9.45,6.508407950979566
164,-75.0,9.599999999999998,6.536982950979567
165,-75.0,9.75,6.566007950979567
166,-75.0,9.899999999999999,6.595482950979567
167,-75.0,10.05,6.625407950979567
168,-75.0,10.2,6.6557829509795665
169,-75.0,10.349999999999998,6.686607950979567
170,-75.0,10.5,6.717882950979566
171,-75.0,10.649999999999999,6.7496079509795655
172,-75.0,10.8,6.781782950979566
173,-75.0,10.95,6.814407950979565
174,-75.0,11.099999999999998,6.847482950979565
175,-75.0,11.25,6.8810079509795665
176,-75.0,11.399999999999999,6.9149829509795655
177,-75.0,11.55,6.949407950979567
178,-75.0,11.7,6.984282950979566
179,-75.0,11.849999999999998,7.019607950979566
180,-75.0,12.0,7.055382950979565
181,-75.0,12.149999999999999,7.091607950979565
182,-75.0,12.3,7.128282950979566
183,-75.0,12.45,7.165407950979566
184,-75.0,12.599999999999998,7.202982950979566
185,-75.0,12.75,7.241007950979567
186,-75.0,12.899999999999999,7.279482950979566
187,-75.0,13.05,7.318407950979567
188,-75.0,13.2,7.357782950979566
189,-75.0,13.349999999999998,7.397607950979566
190,-75.0,13.5,7.437882950979565
191,-75.0,13.649999999999999,7.4786079509795655
192,-75.0,13.799999999999997,7.5197829509795655
193,-75.0,13.95,7.561407950979565
194,-75.0,14.099999999999998,7.603482950979565
195,-75.0,14.25,7.646007950979567
196,-75.0,14.399999999999999,7.688982950979565
197,-75.0,14.549999999999997,7.732407950979566
198,-75.0,14.7,7.776282950979566
199,-75.0,14.849999999999998,7.820607950979565
200,-75.0,15.0,7.8653829509795665
201,-74.625,-15.0,7.8092735759795655
202,-74.625,-14.85,7.764498575979566
203,-74.625,-14.7,7.720173575979565
204,-74.625,-14.55,7.676298575979566
205,-74.625,-14.4,7.632873575979567
206,-74.625,-14.25,7.589898575979566
207,-74.625,-14.1,7.547373575979566
208,-74.625,-13.95,7.505298575979566
209,-74.625,-13.8,7.463673575979567
210,-74.625,-13.65,7.422498575979566
211,-74.625,-13.5,7.381773575979566
212,-74.625,-13.35,7.341498575979567
213,-74.625,-13.2,7.301673575979566
214,-74.625,-13.05,7.262298575979566
215,-74.625,-12.9,7.223373575979565
216,-74.625,-12.75,7.184898575979566
217,-74.625,-12.6,7.146873575979566
218,-74.625,-12.45,7.109298575979565
219,-74.625,-12.3,7.0721735759795665
220,-74.625,-12.15,7.035498575979566
221,-74.625,-12.0,6.999273575979566
222,-74.625,-11.85,6.963498575979567
223,-74.625,-11.7,6.928173575979566
224,-74.625,-11.55,6.893298575979566
225,-74.625,-11.4,6.858873575979566
226,-74.625,-11.25,6.8248985759795655
227,-74.625,-11.1,6.7913735759795655
228,-74.625,-10.95,6.758298575979566
229,-74.625,-10.8,6.725673575979567
230,-74.625,-10.65,6.693498575979567
231,-74.625,-10.5,6.661773575979567
232,-74.625,-10.350000000000001,6.6304985759795665
233,-74.625,-10.2,6.599673575979566
234,-74.625,-10.05,6.569298575979567
235,-74.625,-9.9,6.539373575979567
236,-74.625,-9.75,6.509898575979567
237,-74.625,-9.600000000000001,6.480873575979567
238,-74.625,-9.45,6.452298575979566
239,-74.625,-9.3,6.424173575979568
240,-74.625,-9.15,6.396498575979567
241,-74.625,-9.0,6.369273575979568
242,-74.625,-8.850000000000001,6.342498575979566
243,-74.625,-8.7,6.316173575979566
244,-74.625,-8.55,6.290298575979567
245,-74.625,-8.4,6.264873575979568
246,-74.625,-8.25,6.239898575979566
